request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,Pay ZAR 13398 today while keeping the minimum balance protected.
request_160,857.61,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-15,none,Use 3 installments of EUR 432.05; the minimum balance remains protected.
request_161,17241550.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-01-15; the IDR 23010400 minimum is not protected.
request_162,8601300.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-08-26; the IDR 24161100 minimum is not protected.
request_163,19304000.0,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-07,none,Use 3 installments of IDR 6692053.33; the minimum balance remains protected.
request_164,27018000.0,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,Use 3 installments of IDR 9366240; the minimum balance remains protected.
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Pay INR 80600 today while keeping the minimum balance protected.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,Use 3 installments of USD 1007.97; the minimum balance remains protected.
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Pay ZAR 43802 today while keeping the minimum balance protected.
request_168,49380.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-16; the INR 114400 minimum is not protected.
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Pay ZAR 41976 today while keeping the minimum balance protected.
request_170,36936000.0,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-06,none,Use 3 installments of IDR 12804480; the minimum balance remains protected.
request_171,310.65,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-10; the EUR 500 minimum is not protected.
request_172,10200.0,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,Use 2 installments of ZAR 5304; the minimum balance remains protected.
request_173,83190.53,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2025-11-15,none,Use 3 installments of INR 39173.33; the minimum balance remains protected.
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,Use 3 installments of EUR 397.35; the minimum balance remains protected.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,Pay EUR 2346.3 today while keeping the minimum balance protected.
request_176,686.95,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-27; the EUR 600 minimum is not protected.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,Pay USD 1017.6 today while keeping the minimum balance protected.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,Use 3 installments of EUR 1018.54; the minimum balance remains protected.
request_179,37957250.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-07-15; the IDR 41430800 minimum is not protected.
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,Pay INR 66500 today while keeping the minimum balance protected.
request_181,1141.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-04-07; the USD 2000 minimum is not protected.
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Pay ZAR 65714 today while keeping the minimum balance protected.
request_183,26866000.0,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-07,none,Use 3 installments of IDR 9313546.67; the minimum balance remains protected.
request_184,47540.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-07-30; the INR 110800 minimum is not protected.
request_185,783.4,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-01-15; the EUR 1300 minimum is not protected.
request_186,22863.5,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-15; the ZAR 22000 minimum is not protected.
request_187,67435.0,affordable_later,wait,2024-09-15:187500,2024-09-15,none,"Wait until 2024-09-15, when the full INR 187500 payment is safe."
request_188,585.3,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-03-04; the EUR 900 minimum is not protected.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Pay EUR 488.4 today while keeping the minimum balance protected.
request_190,1555.8,affordable_later,wait,2024-12-15:2557.5,2024-12-15,none,"Wait until 2024-12-15, when the full EUR 2557.5 payment is safe."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Pay EUR 664.4 today while keeping the minimum balance protected.
request_192,384.8,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-05-11; the USD 1000 minimum is not protected.
request_193,310.62,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-05-28; the EUR 1000 minimum is not protected.
request_194,95030.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-10-23; the INR 113600 minimum is not protected.
request_195,1170.4,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-06,none,Use 3 installments of EUR 405.74; the minimum balance remains protected.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Pay EUR 762.3 today while keeping the minimum balance protected.
request_197,50939000.0,affordable_with_plan,installments,2025-11-19:17658853.33|2025-12-17:17658853.33|2026-01-14:17658853.33,2025-11-05,none,Use 3 installments of IDR 17658853.33; the minimum balance remains protected.
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Pay INR 185800 today while keeping the minimum balance protected.
request_199,23674000.0,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,Use 3 installments of IDR 8206986.67; the minimum balance remains protected.
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Pay IDR 21717000 today while keeping the minimum balance protected.
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Pay IDR 23997000 today while keeping the minimum balance protected.
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Pay INR 123900 today while keeping the minimum balance protected.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,Use 3 installments of EUR 499.93; the minimum balance remains protected.
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,Pay EUR 588.74 today while keeping the minimum balance protected.
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay IDR 10621000 today while keeping the minimum balance protected.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,Use 3 installments of EUR 486.96; the minimum balance remains protected.
request_207,11830.0,affordable_now,full_payment,2026-07-05:11830,2026-07-05,none,Pay ZAR 11830 today while keeping the minimum balance protected.
request_208,4413000.0,affordable_now,full_payment,2024-06-07:4413000,2024-06-07,none,Pay IDR 4413000 today while keeping the minimum balance protected.
request_209,8625.1,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-11-25; the ZAR 18400 minimum is not protected.
request_210,1360.02,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-23; the USD 2000 minimum is not protected.
request_211,1227.89,affordable_later,wait,2024-09-15:1788.6,2024-09-15,none,"Wait until 2024-09-15, when the full EUR 1788.6 payment is safe."
request_212,22344000.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-28; the IDR 29579800 minimum is not protected.
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,Use 3 installments of USD 1165.63; the minimum balance remains protected.
request_214,69750.0,affordable_with_plan,installments,2024-12-04:36270|2025-01-01:36270,2024-12-04,none,Use 2 installments of INR 36270; the minimum balance remains protected.
request_215,29986.0,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,Use 3 installments of ZAR 10395.15; the minimum balance remains protected.
request_216,1166.8,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-15; the USD 1800 minimum is not protected.
request_217,31601.97,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,Use 3 installments of ZAR 12889.07; the minimum balance remains protected.
request_218,37942414.8,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-15,none,Use 3 installments of IDR 21195893.33; the minimum balance remains protected.
request_219,1673.1,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-13; the EUR 1100 minimum is not protected.
request_220,307.32,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-07-03; the EUR 1100 minimum is not protected.
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Pay INR 109800 today while keeping the minimum balance protected.
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Pay ZAR 34078 today while keeping the minimum balance protected.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Pay EUR 898.7 today while keeping the minimum balance protected.
request_224,10327000.0,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,Use 2 installments of IDR 5370040; the minimum balance remains protected.
request_225,18120459.6,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-21; the IDR 17670700 minimum is not protected.
